[2026-03-17 22:14:12.190] [DEBUG] [app] worker=1 message=24 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=1 message=25 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=1 message=26 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=1 message=27 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=0 message=65 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=3 message=39 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=0 message=66 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=1 message=28 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=1 message=29 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=3 message=40 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=2 message=43 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=1 message=30 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.190] [DEBUG] [app] worker=2 message=44 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
